"Date","Temp","Humid","p1","p2"
2022-09-10,22.495738665,66.810921145,29.70246976,25.753897335
2022-09-11,22.6811627,74.16009815,8.291253303,7.85403926
2022-09-12,24.49737426,63.15372589,32.5990063785,27.513899791
2022-09-13,23.4820339,68.67800377,9.183615819,8.72039548
2022-09-14,22.938006525,63.34577359,37.21622213,32.449394515
2022-09-15,22.653608755,63.4983635,24.147186331,21.066999293
2022-09-16,23.583157815,64.62967664,20.6057876105,17.819583906
2022-09-17,23.705985455,70.809021165,30.807905222,26.664193291
2022-09-18,23.39946232,73.99754881,28.956648751,24.7514959275
2022-09-19,24.404449375,62.13395807,22.01377227,19.28699933
2022-09-20,25.458337865,59.99985848,21.452632305,19.005699785
2022-09-21,25.131344935,62.50153333,23.51952582,20.697168765
2022-09-22,25.51454796,57.287370055,20.57836283,17.8436635075
2022-09-23,24.88408049,54.392125895,22.7148807375,19.8744949075
2022-09-24,24.735254585,56.092716825,18.2718535475,16.187959003
2022-09-25,24.160893395,58.0887003,9.2550113305,8.169287544
2022-09-26,25.099064735,55.62026439,17.956981902,15.7780739115
2022-09-27,24.62160864,56.1508939,17.378371202,15.260532366
2022-09-28,24.99708326,50.73819117,23.9049031185,20.911171223
2022-09-29,24.364182565,63.742961355,24.101955637,21.1753502635
2022-09-30,24.819076895,72.025931335,26.7578074665,22.6045348475
2022-10-01,26.15900405,50.08343949,37.89846555,32.05390851
2022-10-02,27.14196745,46.27784855,29.31185897,25.52240028
2022-10-03,23.355558815,70.83244144,31.78744282,27.92583282
2022-10-04,24.344269615,62.844226865,32.277017205,27.69465704
2022-10-05,25.13205038,66.65722933,26.330762215,22.7817265
2022-10-06,25.16807951,68.6585484,25.75757209,22.30364304
2022-10-07,24.863082805,66.04100328,22.6117368685,19.8144785095
2022-10-08,24.197327895,62.87154673,19.1147727015,16.940020213
2022-10-09,23.834672765,58.073978235,15.8162026635,14.0969087025
2022-10-10,25.04719354,52.20017626,22.8268502585,19.676373213
2022-10-11,23.931250675,61.84221364,25.358671248,21.6938013275
2022-10-12,28.01979021,41.64566434,30.53442281,26.79238526
2022-10-13,27.28695652,45.00673913,54.12727599,46.74942652
2022-10-14,28.08521607,44.41630023,43.16729993,35.07118923
2022-10-15,27.03035088,48.94076023,41.62663768,34.83901449
2022-10-16,27.11552795,60.35416149,44.55260922,37.66450243
2022-10-17,28.52637224,45.80731861,40.07198617,33.29357637
2022-10-18,24.78210806,74.05394154,15.6484252,14.99107612
2022-10-19,26.264555565,57.76553531,25.93650591,23.186480265
2022-10-20,25.97714087,54.7545242,30.67190073,27.16380127
2022-10-21,26.40802894,54.37336455,30.645272395,27.20844883
2022-10-22,28.14247417,46.500212675,29.13860911,25.71838791
2022-10-23,25.00712381,62.552,12.31508352,11.82350038
2022-10-24,24.98480627,63.86295168,15.02833623,14.22751955
2022-10-25,23.31477516,73.0614561,12.85974304,12.20760171
2022-10-26,27.91246377,47.7315942,39.36883275,33.34646341
2022-10-27,27.482122845,53.288035745,18.678859405,16.597871995
2022-10-28,27.10073761,55.803082655,19.58828891,17.73204215
2022-10-29,27.491972605,50.87292455,23.82384378,20.731755745
2022-10-30,27.45458172,55.502771835,16.66469372,15.202701755
2022-10-31,26.754730365,64.28150629,27.555075495,24.27107229
2022-11-01,24.683105465,72.54494338,47.745482475,41.201877535
2022-11-02,26.20116279,60.16063123,48.82536545,40.36839701
2022-11-03,23.535097975,74.96317952,60.2046425,52.764279546
2022-11-04,24.041235295,72.76408039,24.456087095,21.342305427
2022-11-05,NA,NA,NA,NA
2022-11-06,NA,NA,NA,NA
2022-11-07,29.44711033,47.80928196,48.00741681,39.35501751
2022-11-08,27.82155009,50.62325142,44.48233438,37.69006309
2022-11-09,26.49690832,52.15138593,48.03686296,39.44031049
2022-11-10,27.83687316,49.14926254,70.06104012,60.11248143
2022-11-11,27.48452073,54.3255829,46.23420609,39.09951393
2022-11-12,24.87187879,64.63684848,63.64271186,52.89196126
2022-11-13,25.34658774,57.86051532,45.44759467,38.04063815
2022-11-14,25.34759547,63.5625884,48.11434968,39.96530206
2022-11-15,25.16594293,65.03579404,46.0685599,38.67523277
2022-11-16,24.23062347,67.43881418,64.68056846,53.3004401
2022-11-17,23.15469407,68.44367118,56.1050421,46.14802619
2022-11-18,23.87265734,63.02678322,57.85191742,47.07054584
2022-11-19,25.69020936,61.72296798,56.35779213,46.26239852
2022-11-20,24.23354779,61.88079044,57.47043318,48.30284793
2022-11-21,25.91873148,57.86170717,48.34290131,40.44947681
2022-11-22,26.43812105,59.5934056,59.89632153,49.11167121
2022-11-23,24.39822676,70.18463192,59.36648387,48.52262366
2022-11-24,23.85240143,69.83318996,58.71628141,48.76558507
2022-11-25,25.69744735,59.95922144,33.88323773,29.03946463
2022-11-26,26.53420074,54.65873606,43.2253596,36.37839275
2022-11-27,26.15724359,55.24935897,47.76847784,39.61529865
2022-11-28,24.80518039,66.96771508,52.10408712,43.57096386
2022-11-29,26.32786596,58.88947678,56.16863369,46.785053
2022-11-30,24.31842242,65.92527244,56.17517941,47.34217369
2022-12-01,25.92459426,55.97234707,49.85434375,41.43003125
2022-12-02,27.43043478,52.02413043,46.55449265,38.37202206
2022-12-03,26.9811344,56.46837238,54.61661529,44.70554871
2022-12-04,26.8596201,61.31348039,41.34424893,34.39011036
2022-12-05,27.77768332,54.24537726,48.65904357,40.78919235
2022-12-06,26.9963884,55.42362345,44.99018946,37.63029603
2022-12-07,28.912692,52.67089733,50.79858414,41.40157767
2022-12-08,28.85687398,51.33682488,42.59369885,35.75607201
2022-12-09,26.65686795,54.44950232,39.4401932,33.28104597
2022-12-10,26.6329677,63.66946984,81.75946374,68.85669104
2022-12-11,25.84983974,58.12681624,50.87716498,42.44658302
2022-12-12,25.74205257,58.12703379,46.06276596,38.51670839
2022-12-13,26.15408942,60.70512541,49.69336235,40.7968988
2022-12-14,25.92163543,55.02697331,49.50611584,40.81740488
2022-12-15,27.4289701,54.32870432,47.67910299,39.16388704
2022-12-16,28.06970618,51.27578521,46.69365385,38.60814777
2022-12-17,28.08682842,51.63639515,50.9932526,41.23036332
2022-12-18,NA,NA,NA,NA
2022-12-19,28.43606676,48.1658926,45.08788978,37.38391588
2022-12-20,28.41316062,47.06797927,43.32466874,36.49784679
2022-12-21,29.58211921,47.52015137,47.17963981,37.63521327
2022-12-22,28.10688427,51.12083086,51.75096793,41.34251781
2022-12-23,27.96139896,52.99831606,54.08556634,43.84100324
2022-12-24,28.39856734,51.15551576,50.39419355,40.95265233
2022-12-25,NA,NA,NA,NA
2022-12-26,25.65167785,58.31442953,51.85755034,42.17114094
2022-12-27,25.37906977,63.91417497,45.10735327,38.0562237
2022-12-28,28.62810903,49.10613288,52.758391,43.40873702
2022-12-29,27.04481669,49.37231353,51.73684377,42.20177103
2022-12-30,27.43788575,47.03624425,49.22514436,40.36195538
2022-12-31,26.42033084,47.2536286,57.33117396,46.41302028
2023-01-01,26.0452149,48.11839542,40.22590569,34.31113859
2023-01-02,25.32862319,53.0126087,39.36258158,33.54144307
2023-01-03,25.5865233,61.75326165,40.91390838,34.46412312
2023-01-04,24.20604891,63.78455598,49.10701031,40.9574549
2023-01-05,24.46049383,53.93888889,53.42008754,44.23307415
2023-01-06,25.2521377,48.98051083,47.59954571,40.36341828
2023-01-07,27.1985607,45.22559449,51.63267835,42.2935169
2023-01-08,27.65335085,50.90499343,37.65818003,32.0532523
2023-01-09,25.89809783,61.29021739,43.34603825,36.48060109
2023-01-10,28.19342723,47.74812207,44.1621423,36.91310399
2023-01-11,27.4872956,50.22528302,39.32930057,33.3757719
2023-01-12,26.98819488,49.93091818,48.58096552,40.45579937
2023-01-13,27.21318957,45.03706118,45.92152882,38.20982456
2023-01-14,26.61974971,45.59073133,75.07229175,64.11326163
2023-01-15,26.92206769,45.07607789,51.41536473,43.08301477
2023-01-16,27.60690276,42.78523409,40.40264264,34.70466667
2023-01-17,27.91075766,44.82510121,49.56436522,41.14107246
2023-01-18,27.97260514,36.15350467,51.6454556,43.75821822
2023-01-19,28.88421941,36.87611814,63.71752534,55.85743243
2023-01-20,29.21868289,42.41066571,42.78293066,35.46481058
2023-01-21,29.15632032,41.46803441,49.27129225,41.20018555
2023-01-22,27.18300885,48.31663717,43.73376106,36.7709292
2023-01-23,26.81561429,50.66989721,42.03982379,34.65413607
2023-01-24,28.94295846,45.0064843,56.97424547,47.31634809
2023-01-25,28.44044944,43.48715891,44.65826482,37.32845702
2023-01-26,29.3252111,37.6495778,54.61293727,47.64041013
2023-01-27,28.0566352,42.04436424,42.55925679,35.2912812
2023-01-28,28.15585492,39.72181347,40.40461618,34.09942946
2023-01-29,29.6224163,34.37852984,37.67834789,31.49243086
2023-01-30,28.8876914,39.80906949,51.30291691,43.04882145
2023-01-31,29.06166471,42.46488863,47.53934974,38.68680141
2023-02-01,30.78112655,39.7961229,40.93092251,34.28387454
2023-02-02,30.43974763,41.03722397,46.04497172,37.76312382
2023-02-03,25.80368272,45.97025496,80.27232295,71.53286119
2023-02-04,29.74100247,37.54913722,35.42419196,29.10497949
2023-02-05,28.81081474,39.99825412,34.73304306,29.60725689
2023-02-06,29.99570621,33.37333333,37.58477401,31.5020791
2023-02-07,29.30622688,41.34143033,43.29197401,36.09622525
2023-02-08,29.86554233,42.90244709,42.15652576,34.8210568
2023-02-09,29.30328487,43.04851912,57.83208827,47.4695479
2023-02-10,29.32417143,37.21422857,50.68371281,42.62611556
2023-02-11,28.54790047,40.11648523,45.040648,37.54079834
2023-02-12,27.61766382,39.47789988,39.9050773,34.38135883
2023-02-13,25.57175573,41.43927057,52.56970339,44.19025424
2023-02-14,NA,NA,NA,NA
2023-02-15,32.34738155,31.6680798,33.08363184,28.30373134
2023-02-16,30.23564669,40.08574132,37.42899811,31.24610586
2023-02-17,28.69311417,42.00630831,52.84262201,44.27380213
2023-02-18,27.85452196,44.59702842,51.92566257,41.94058177
2023-02-19,28.11621053,43.60726316,36.45909569,31.03080967
2023-02-20,28.80364465,38.82323462,50.71560296,42.04245165
2023-02-21,27.42231813,39.10036991,73.71438272,64.62290123
2023-02-22,30.3890411,34.85068493,37.57756849,31.42243151
2023-02-23,28.40514146,47.779650505,32.577036575,27.390832
2023-02-24,27.645431775,50.45643046,33.215025865,28.279628585
2023-02-25,28.78478021,45.92489489,38.29945236,31.63317957
2023-02-26,29.4382702,44.190473065,27.59833293,23.66514243
2023-02-27,28.26764038,53.128545255,33.322015185,28.228723535
2023-02-28,28.439767895,52.518012425,43.73117634,36.71715328
